lib_string,gene_biotype_gtf,sum_score,exp_string,lib_type
L1_Imp_IP,3UTR,20031213,L1 Imp,iCLIP
L1_Imp_IP,5UTR,1133137,L1 Imp,iCLIP
L1_Imp_IP,CDS,2392055,L1 Imp,iCLIP
L1_Imp_IP,intron,1886563,L1 Imp,iCLIP
L1_Imp_IP,CDS,4124,L1 Imp,iCLIP
L1_Imp_IP,CDS,35581,L1 Imp,iCLIP
L1_Imp_IP,ncRNA,850801,L1 Imp,iCLIP
L1_Imp_IP,pre_miRNA,1496,L1 Imp,iCLIP
L1_Imp_IP,pseudogene,22745,L1 Imp,iCLIP
L1_Imp_IP,rRNA,118208,L1 Imp,iCLIP
L1_Imp_IP,snoRNA,104957,L1 Imp,iCLIP
L1_Imp_IP,snRNA,19577,L1 Imp,iCLIP
L1_Imp_IP,tRNA,31474,L1 Imp,iCLIP
L1_Imp_IP,intergenic,279352,L1 Imp,iCLIP
L2_Imp_IP,3UTR,19497795,L2 Imp,iCLIP
L2_Imp_IP,5UTR,1803787,L2 Imp,iCLIP
L2_Imp_IP,CDS,3786315,L2 Imp,iCLIP
L2_Imp_IP,intron,1921525,L2 Imp,iCLIP
L2_Imp_IP,CDS,9495,L2 Imp,iCLIP
L2_Imp_IP,CDS,47568,L2 Imp,iCLIP
L2_Imp_IP,ncRNA,3360985,L2 Imp,iCLIP
L2_Imp_IP,pre_miRNA,2240,L2 Imp,iCLIP
L2_Imp_IP,pseudogene,31533,L2 Imp,iCLIP
L2_Imp_IP,rRNA,177109,L2 Imp,iCLIP
L2_Imp_IP,snoRNA,71065,L2 Imp,iCLIP
L2_Imp_IP,snRNA,17150,L2 Imp,iCLIP
L2_Imp_IP,tRNA,47402,L2 Imp,iCLIP
L2_Imp_IP,intergenic,304688,L2 Imp,iCLIP
L2_Syp_IP,3UTR,1875762,L2 Syp,iCLIP
L2_Syp_IP,5UTR,412375,L2 Syp,iCLIP
L2_Syp_IP,CDS,966972,L2 Syp,iCLIP
L2_Syp_IP,intron,1102931,L2 Syp,iCLIP
L2_Syp_IP,CDS,3086,L2 Syp,iCLIP
L2_Syp_IP,CDS,6848,L2 Syp,iCLIP
L2_Syp_IP,ncRNA,975469,L2 Syp,iCLIP
L2_Syp_IP,pre_miRNA,339,L2 Syp,iCLIP
L2_Syp_IP,pseudogene,53103,L2 Syp,iCLIP
L2_Syp_IP,rRNA,260079,L2 Syp,iCLIP
L2_Syp_IP,snoRNA,95841,L2 Syp,iCLIP
L2_Syp_IP,snRNA,169698,L2 Syp,iCLIP
L2_Syp_IP,tRNA,20734,L2 Syp,iCLIP
L2_Syp_IP,intergenic,426215,L2 Syp,iCLIP
L3_Syp_IP,3UTR,9671134,L3 Syp,iCLIP
L3_Syp_IP,5UTR,1811854,L3 Syp,iCLIP
L3_Syp_IP,CDS,2772165,L3 Syp,iCLIP
L3_Syp_IP,intron,4498461,L3 Syp,iCLIP
L3_Syp_IP,CDS,9296,L3 Syp,iCLIP
L3_Syp_IP,CDS,20661,L3 Syp,iCLIP
L3_Syp_IP,ncRNA,7064291,L3 Syp,iCLIP
L3_Syp_IP,pre_miRNA,2639,L3 Syp,iCLIP
L3_Syp_IP,pseudogene,49041,L3 Syp,iCLIP
L3_Syp_IP,rRNA,453609,L3 Syp,iCLIP
L3_Syp_IP,snoRNA,183807,L3 Syp,iCLIP
L3_Syp_IP,snRNA,183844,L3 Syp,iCLIP
L3_Syp_IP,tRNA,46484,L3 Syp,iCLIP
L3_Syp_IP,intergenic,630076,L3 Syp,iCLIP
L1_Imp_SMI,3UTR,950955,L1 Imp,SMInput
L1_Imp_SMI,5UTR,378159,L1 Imp,SMInput
L1_Imp_SMI,CDS,1570189,L1 Imp,SMInput
L1_Imp_SMI,intron,1595959,L1 Imp,SMInput
L1_Imp_SMI,CDS,4038,L1 Imp,SMInput
L1_Imp_SMI,CDS,4431,L1 Imp,SMInput
L1_Imp_SMI,ncRNA,212708,L1 Imp,SMInput
L1_Imp_SMI,pre_miRNA,731,L1 Imp,SMInput
L1_Imp_SMI,pseudogene,42592,L1 Imp,SMInput
L1_Imp_SMI,rRNA,502530,L1 Imp,SMInput
L1_Imp_SMI,snoRNA,127763,L1 Imp,SMInput
L1_Imp_SMI,snRNA,26939,L1 Imp,SMInput
L1_Imp_SMI,tRNA,35965,L1 Imp,SMInput
L1_Imp_SMI,intergenic,547478,L1 Imp,SMInput
L2_Imp_SMI,3UTR,1182365,L2 Imp,SMInput
L2_Imp_SMI,5UTR,440356,L2 Imp,SMInput
L2_Imp_SMI,CDS,2096627,L2 Imp,SMInput
L2_Imp_SMI,intron,1241780,L2 Imp,SMInput
L2_Imp_SMI,CDS,6019,L2 Imp,SMInput
L2_Imp_SMI,CDS,7310,L2 Imp,SMInput
L2_Imp_SMI,ncRNA,222018,L2 Imp,SMInput
L2_Imp_SMI,pre_miRNA,590,L2 Imp,SMInput
L2_Imp_SMI,pseudogene,45957,L2 Imp,SMInput
L2_Imp_SMI,rRNA,378812,L2 Imp,SMInput
L2_Imp_SMI,snoRNA,108069,L2 Imp,SMInput
L2_Imp_SMI,snRNA,30507,L2 Imp,SMInput
L2_Imp_SMI,tRNA,32755,L2 Imp,SMInput
L2_Imp_SMI,intergenic,561387,L2 Imp,SMInput
L2_Syp_SMI,3UTR,839459,L2 Syp,SMInput
