exp_string,bins,meanCoverage,standardError,feature,merged_bins,max_cvg,norm_cvg,norm_SE
L1 Imp,1,1.0896631227180364e-4,8.9669547368795e-5,fiveUTRs,0.5,0.028600016385813703,0.0038100087357241363,0.0031352970627413087
L1 Imp,2,1.6242731377708475e-5,1.1484188579929811e-5,fiveUTRs,1,0.028600016385813703,5.679273451663217e-4,4.015448251850039e-4
L1 Imp,3,1.13652711840023e-4,1.0382462566414888e-4,fiveUTRs,1.5,0.028600016385813703,0.003973868766606633,0.003630229586709202
L1 Imp,4,5.156563314706246e-4,2.45727434013011e-4,fiveUTRs,2,0.028600016385813703,0.018029931329913592,0.008591863399592238
L1 Imp,5,0.0010287324758192285,3.3022171084179337e-4,fiveUTRs,2.5,0.028600016385813703,0.03596964637857706,0.011546207050622226
L1 Imp,6,8.178906222500384e-4,2.877889838070564e-4,fiveUTRs,3,0.028600016385813703,0.028597557820132295,0.010062546116225538
L1 Imp,7,6.233101862095611e-4,2.549091002534838e-4,fiveUTRs,3.5,0.028600016385813703,0.021794049968402743,0.00891290049679569
L1 Imp,8,0.0011313290417744374,3.436144381418413e-4,fiveUTRs,4,0.028600016385813703,0.03955693683922516,0.012014483960655433
L1 Imp,9,8.653676848200989e-4,2.783844790717556e-4,fiveUTRs,4.5,0.028600016385813703,0.03025759402184616,0.009733717467722886
L1 Imp,10,7.224044702412238e-4,2.7552037679272817e-4,fiveUTRs,5,0.028600016385813703,0.025258883089296195,0.009633574088768457
L1 Imp,11,0.0011206475129546384,3.667101781806469e-4,fiveUTRs,5.5,0.028600016385813703,0.03918345702453886,0.012822026855989635
L1 Imp,12,9.94560265544109e-4,3.4898324889218944e-4,fiveUTRs,6,0.028600016385813703,0.034774814536030645,0.012202204508711175
L1 Imp,13,0.0012712791443396667,3.928862185810528e-4,fiveUTRs,6.5,0.028600016385813703,0.04445029426522468,0.013737272499463805
L1 Imp,14,0.0018341161856535912,5.058320165959904e-4,fiveUTRs,7,0.028600016385813703,0.06412989981933566,0.01768642401362033
L1 Imp,15,8.16314616393429e-4,3.8008847089524196e-4,fiveUTRs,7.5,0.028600016385813703,0.028542452751822222,0.013289799060526937
L1 Imp,16,7.140895358418017e-4,3.6563811759394283e-4,fiveUTRs,8,0.028600016385813703,0.02496815128385756,0.01278454224156697
L1 Imp,17,4.699563611950319e-4,2.9259520979433976e-4,fiveUTRs,8.5,0.028600016385813703,0.016432031186812242,0.010230595879639917
L1 Imp,18,7.502812082236474e-4,3.738724588876716e-4,fiveUTRs,9,0.028600016385813703,0.026233593649121298,0.013072456107861579
L1 Imp,19,7.033557507948067e-4,3.258445622057819e-4,fiveUTRs,9.5,0.028600016385813703,0.02459284432940703,0.011393159983202271
L1 Imp,20,6.214651706197662e-4,3.4920143567561114e-4,fiveUTRs,10,0.028600016385813703,0.021729538970754855,0.012209833412851591
L1 Imp,21,5.028378530360434e-4,2.9354398792794307e-4,fiveUTRs,10.5,0.028600016385813703,0.017581733040036407,0.010263769921248994
L1 Imp,22,3.571146000646785e-4,1.8591226908680762e-4,fiveUTRs,11,0.028600016385813703,0.012486517323878735,0.006500425264757002
L1 Imp,23,6.790757811071361e-4,3.1430819018743455e-4,fiveUTRs,11.5,0.028600016385813703,0.023743894826716745,0.010989790563313768
L1 Imp,24,0.0010070139029517613,4.064308018363062e-4,fiveUTRs,12,0.028600016385813703,0.03521025615395327,0.014210859055238364
L1 Imp,25,0.001188318227593152,4.5591742969223277e-4,fiveUTRs,12.5,0.028600016385813703,0.041549564572368095,0.01594115973718039
L1 Imp,26,0.0010478697583165702,4.25319750122594e-4,fiveUTRs,13,0.028600016385813703,0.036638781746864274,0.014871311414127819
L1 Imp,27,0.0012261326855436084,4.465920093802012e-4,fiveUTRs,13.5,0.028600016385813703,0.042871747659270563,0.015615096276718275
L1 Imp,28,7.278399778844066e-4,3.36058945576931e-4,fiveUTRs,14,0.028600016385813703,0.02544893569520585,0.011750306050300878
L1 Imp,29,8.586420734615996e-4,3.9235592331131054e-4,fiveUTRs,14.5,0.028600016385813703,0.030022432920265973,0.013718730717438628
L1 Imp,30,8.727760993622021e-4,3.818384845298791e-4,fiveUTRs,15,0.028600016385813703,0.03051662934693702,0.01335098831339412
L1 Imp,31,0.0010433821061153566,4.1959873544923225e-4,fiveUTRs,15.5,0.028600016385813703,0.03648187092063693,0.01467127605064462
L1 Imp,32,7.765671562682691e-4,3.3886461421384e-4,fiveUTRs,16,0.028600016385813703,0.027152682215016672,0.011848406296086076
L1 Imp,33,5.154851467273717e-4,2.7594282391700715e-4,fiveUTRs,16.5,0.028600016385813703,0.018023945852809538,0.009648344958777068
L1 Imp,34,3.507137023843521e-4,2.0355862148760926e-4,fiveUTRs,17,0.028600016385813703,0.012262709840904657,0.00711743023995536
L1 Imp,35,5.620199482183868e-4,3.158148170571327e-4,fiveUTRs,17.5,0.028600016385813703,0.019651035881824257,0.011042469794310485
L1 Imp,36,0.001082599412293409,4.555655248992376e-4,fiveUTRs,18,0.028600016385813703,0.03785310461676533,0.01592885538083849
L1 Imp,37,0.0010794646196448329,4.441914420585622e-4,fiveUTRs,18.5,0.028600016385813703,0.037743496544997555,0.015531160404470673
L1 Imp,38,0.0011049056258056573,4.0475994108446706e-4,fiveUTRs,19,0.028600016385813703,0.03863304170530885,0.014152437384100162
L1 Imp,39,8.66701833469205e-4,3.8479766554957095e-4,fiveUTRs,19.5,0.028600016385813703,0.030304242549284342,0.013454456121935646
L1 Imp,40,0.0010904905768954107,4.260759589253891e-4,fiveUTRs,20,0.028600016385813703,0.03812901930490922,0.014897752266209647
L1 Imp,41,0.0012615855338442862,4.717891402606497e-4,fiveUTRs,20.5,0.028600016385813703,0.04411135702950377,0.01649611433420956
L1 Imp,42,0.0011895170958615066,4.1793145595592397e-4,fiveUTRs,21,0.028600016385813703,0.04159148301927323,0.014612979598264427
L1 Imp,43,0.0015515199805230017,5.493808868224255e-4,fiveUTRs,21.5,0.028600016385813703,0.05424891928707401,0.019209110911381565
L1 Imp,44,0.0011365271184002302,4.6035400343905476e-4,fiveUTRs,22,0.028600016385813703,0.039738687666066336,0.0160962846044872
L1 Imp,45,8.761329305135952e-4,3.7784607729272944e-4,fiveUTRs,22.5,0.028600016385813703,0.030634000998271394,0.013211393734730523
L1 Imp,46,0.0010693904953723685,4.274185567449242e-4,fiveUTRs,23,0.028600016385813703,0.037391254639378875,0.014944696219018045
L1 Imp,47,0.0011192634153359229,4.6014663239568176e-4,fiveUTRs,23.5,0.028600016385813703,0.03913506203063242,0.016089033872859093
L1 Imp,48,7.605620294442047e-4,3.4661173679800843e-4,fiveUTRs,24,0.028600016385813703,0.026593062716616545,0.012119284552925508
L1 Imp,49,0.0011630481694845283,4.622037247456597e-4,fiveUTRs,24.5,0.028600016385813703,0.04066599661325468,0.016160960137593623
L1 Imp,50,0.0013137272589636097,4.931451923724942e-4,fiveUTRs,25,0.028600016385813703,0.04593449322690773,0.01724282901519966
L1 Imp,51,7.875326807559405e-4,3.412389390772946e-4,fiveUTRs,25.5,0.028600016385813703,0.027536091942470902,0.011931424600391394
L1 Imp,52,5.616958460778243e-4,2.823339808655793e-4,fiveUTRs,26,0.028600016385813703,0.01963970364563983,0.009871811856919906
L1 Imp,53,9.858427536495649e-4,4.103600062508725e-4,fiveUTRs,26.5,0.028600016385813703,0.034470006602463577,0.014348243746266557
L1 Imp,54,9.374107364387149e-4,3.847485365425118e-4,fiveUTRs,27,0.028600016385813703,0.032776580397474636,0.013452738325470202
L1 Imp,55,0.0011198874046033074,4.6142026129858394e-4,fiveUTRs,27.5,0.028600016385813703,0.03915687982468424,0.016133566326467542
L1 Imp,56,0.001067472306143001,4.5419451165111405e-4,fiveUTRs,28,0.028600016385813703,0.03732418512433066,0.01588091788214518
L1 Imp,57,0.001320673284419508,5.022051696680657e-4,fiveUTRs,28.5,0.028600016385813703,0.04617736111069481,0.017559611256627514
L1 Imp,58,0.0013235505682635592,4.806054694451423e-4,fiveUTRs,29,0.028600016385813703,0.04627796538326713,0.016804377415795265
L1 Imp,59,0.0014299228800739375,5.199122406402145e-4,fiveUTRs,29.5,0.028600016385813703,0.049997274854122586,0.01817873925757971
L1 Imp,60,0.0012267692026000183,4.3501910017962347e-4,fiveUTRs,30,0.028600016385813703,0.04289400348765273,0.015210449333707495
L1 Imp,61,0.0012885436148276027,4.495105171662273e-4,fiveUTRs,30.5,0.028600016385813703,0.04505394673363724,0.015717141945037323
L1 Imp,62,7.73989354049777e-4,3.629215431620142e-4,fiveUTRs,31,0.028600016385813703,0.027062549321954038,0.012689557175989314
L1 Imp,63,0.0012573730398503812,4.6355324053885133e-4,fiveUTRs,31.5,0.028600016385813703,0.04396406711410377,0.016208145977454225
L1 Imp,64,0.0010696110358452636,3.9610356020955846e-4,fiveUTRs,32,0.028600016385813703,0.03739896584030688,0.01384976689754749
L1 Imp,65,0.0010408792281904064,4.3040539927534057e-4,fiveUTRs,32.5,0.028600016385813703,0.0363943577566168,0.01504913121269511
L1 Imp,66,0.0010679442716747328,3.815256323327616e-4,fiveUTRs,33,0.028600016385813703,0.03734068740619529,0.013340049431650238
L1 Imp,67,6.515304098385669e-4,3.395114076094592e-4,fiveUTRs,33.5,0.028600016385813703,0.0227807705089897,0.011871021436822149
L1 Imp,68,8.486281440438803e-4,3.9858229510990274e-4,fiveUTRs,34,0.028600016385813703,0.029672295728642318,0.013936435900351762
L1 Imp,69,9.578436217080642e-4,4.096968016603643e-4,fiveUTRs,34.5,0.028600016385813703,0.0334910165360317,0.014325054787856128
L1 Imp,70,0.0012514448085182356,4.296467778649567e-4,fiveUTRs,35,0.028600016385813703,0.04375678641705193,0.015022606003752915
L1 Imp,71,0.0013611396509071538,4.624572805369541e-4,fiveUTRs,35.5,0.028600016385813703,0.047592268219199756,0.016169825719622458
L1 Imp,72,7.025924049436463e-4,2.900641925510345e-4,fiveUTRs,36,0.028600016385813703,0.024566153930322538,0.01014209882393331
