GO_type,exp_string,GO_id,Description,GeneRatio,BgRatio,p.adjust,gene_names,l2fc
Biological process,L1_Imp,GO:0034330,cell junction organization,134/1159,369/9160,2.1828959377342182e-29,Appl/arm/ben/Lar/ena/Fas2/Galphao/Gs2/kay/dlg1/l(2)gl/Atpalpha/pum/put/sesB/sgg/shi/slo/stau/Ten-m/Fur1/Gad1/Syn/pros/Rap1/mys/Rab3/Lac/brat/Rac1/Cdc42/Akt1/Sdc/cora/sinu/Sema1a/cpb/nmo/pck/CASK/Rac2/Rho1/Nf1/Pi3K92E/nrv2/Rab11/fz2/Dad/Abi/caps/WASp/moody/Srpk79D/unc-13/par-6/beta4GalNAcTA/Fmr1/seq/Vap33/pod1/Upf2/Frq1/Tao/cold/Syn2/Synj/Liprin-gamma/PIP5K59B/Eps-15/Cip4/CG13704/sff/Ssk/cmpy/M6/Arl8/ATP6AP2/dpr9/pasi1/Sar1/Nrx-1/plum/RhoGAP100F/Cals/Kat60/Aplip1/dpr1/Atx2/Rheb/cpx/wrd/Fsn/bchs/Pak3/mesh/Synd/Frq2/shakB/dpr12/jeb/alpha-Spec/futsch/mnb/brp/Mob4/Nost/Dys/par-1/nej/Ank2/aPKC/Tl/Rbp/Rab8/Arp3/Src64B/cac/scrib/nwk/dysc/CaMKII/smt3/Nrg/l(3)neo38/Patr-1/rg/kis/Ten-a/unc-104/Mcr/Pak/S6k/Imp/Rab1,1.5210792163752107
Biological process,L1_Imp,GO:0040007,growth,145/1159,425/9160,6.268327176020643e-29,arm/ben/bi/Pka-C1/chic/Chc/Lar/dnc/ena/Fas2/fkh/Galphao/kay/dlg1/l(2)gl/Atpalpha/pum/Ras85D/sesB/sgg/Sh/shi/sl/slo/sqh/stau/ttk/alphaTub85E/Ten-m/Syn/ex/mys/Eip63E/brat/hep/Rac1/Cdc42/Akt1/Sdc/Sema1a/Sema2a/babo/cpb/nmo/pnut/shot/CASK/Rab5/Rac2/Rho1/bif/Nf1/Pi3K92E/CadN/Rab10/Rab11/Vang/fz2/Lk6/14-3-3epsilon/lig/Dad/Abi/Mnt/WASp/Smox/Nipped-B/Fmr1/spidey/slpr/Tao/CG9572/CycY/scaf/Dscam1/Dg/Syn2/Liprin-gamma/PIP5K59B/Eps-15/Hipk/Larp4B/Cip4/chrb/Wbp2/Toll-6/cmpy/srl/jagn/Tctp/Paip2/foxo/Nrx-1/plum/Mtl/CycG/RhoGAP100F/Kat60/scyl/Rheb/cpx/Fsn/bchs/Synd/jeb/Desat1/pix/alpha-Spec/alphaSnap/futsch/mnb/bun/Mob4/par-1/rgn/fwe/Ank2/pico/Tl/Rab8/cic/Myc/Arp3/Src64B/cac/scrib/nwk/Vha68-2/dally/dysc/Sxl/Hr4/CaMKII/Nrg/Patr-1/sima/kis/wap/Ten-a/unc-104/Pak/Frl/S6k/InR/Imp,1.4310570909677052
Biological process,L1_Imp,GO:0000904,cell morphogenesis involved in differentiation,150/1159,467/9160,6.639109214140679e-27,Appl/ben/Cam/chic/Lar/dnc/ena/Fas2/Fas3/fog/kay/Khc/egh/peb/pum/put/Ras85D/sgg/Sh/sm/sqh/Tm1/trc/Pp1-87B/ct/Ptp99A/Ptp10D/Galphaq/Ten-m/pros/zfh1/fru/fs(1)h/mys/ci/dac/hep/Rac1/Cdc42/Sdc/Wnt4/tutl/msn/dia/Sema1a/Sema2a/babo/Moe/Tig/shot/Rab5/Rac2/Rho1/bif/fax/Pi3K92E/CadN/Lis-1/Nak/NetB/Vang/fz2/spen/14-3-3epsilon/ko/dom/Dad/Abi/Pka-R2/caps/WASp/PlexA/Smox/RhoGAPp190/jim/msps/jbug/Fmr1/seq/pigs/pod1/Dlic/wgn/Rab35/Dscam1/Dg/Toll-7/Liprin-gamma/nudE/Toll-6/RhoGAP71E/sff/CG9705/zye/foxo/Sar1/AP-1sigma/neo/RhoGAP100F/Ephrin/Rheb/Unc-115a/smog/sif/Snoo/jeb/vvl/kra/alpha-Spec/meigo/futsch/Cul3/Ppcs/haf/Ank2/Dhc64C/LanB1/Bsg/aPKC/Src64B/cnc/Dscam4/hts/sick/dally/dysc/sli/smt3/Nrg/Dscam2/ttv/kis/tau/Hsc70-4/Ten-a/unc-104/LanB2/Ptp61F/Pak/Frl/br/slmb/S6k/InR/lola/trol/tyn/Fas1/Rab1/TER94,1.3440069827640535
Biological process,L1_Imp,GO:0048589,developmental growth,127/1159,361/9160,1.0229830520395738e-26,arm/ben/bi/Pka-C1/chic/Lar/dnc/ena/Fas2/fkh/Galphao/kay/dlg1/l(2)gl/Atpalpha/pum/Ras85D/sesB/sgg/Sh/slo/sqh/stau/ttk/alphaTub85E/Ten-m/Syn/ex/mys/Eip63E/brat/hep/Rac1/Cdc42/Akt1/Sdc/Sema1a/Sema2a/babo/cpb/nmo/pnut/shot/CASK/Rab5/Rac2/Rho1/bif/Nf1/Pi3K92E/CadN/Rab10/Rab11/Vang/fz2/lig/Dad/Abi/WASp/Smox/Fmr1/slpr/Tao/CG9572/CycY/scaf/Dscam1/Dg/Syn2/Liprin-gamma/PIP5K59B/Eps-15/Hipk/Cip4/Wbp2/Toll-6/jagn/Tctp/foxo/Nrx-1/plum/Mtl/RhoGAP100F/Kat60/Rheb/cpx/Fsn/bchs/Synd/jeb/Desat1/alpha-Spec/alphaSnap/futsch/mnb/bun/Mob4/par-1/rgn/Ank2/pico/Tl/Rab8/cic/Myc/Arp3/Src64B/cac/scrib/nwk/Vha68-2/dally/dysc/Sxl/Hr4/CaMKII/Nrg/Patr-1/kis/wap/Ten-a/unc-104/Pak/Frl/S6k/InR/Imp,1.4752966918628294
Biological process,L1_Imp,GO:0031175,neuron projection development,148/1159,465/9160,3.046323859746228e-26,Appl/ben/Cam/Pka-C1/chic/Lar/dnc/ena/Fas2/Fas3/fog/kay/Khc/egh/peb/pum/put/Sh/sm/sn/Tm1/trc/ttk/Pp1-87B/ct/Ptp99A/Ptp10D/Galphaq/Ten-m/pros/zfh1/fru/fs(1)h/mys/ci/Mbs/dac/Con/hep/Rac1/Cdc42/Akt1/Sdc/Wnt4/tutl/msn/Sema1a/Sema2a/babo/Moe/Tig/shot/Rab5/Rac2/Rho1/bif/fax/Pi3K92E/CadN/Lis-1/Nak/NetB/Vang/fz2/spen/14-3-3epsilon/ko/dom/Dad/Abi/Pka-R2/caps/WASp/PlexA/Smox/RhoGAPp190/jim/msps/jbug/Fmr1/seq/pod1/Dlic/wgn/Tao/sky/Dscam1/Dg/Toll-7/Liprin-gamma/nudE/Toll-6/sff/CG9705/M6/foxo/Sar1/AP-1sigma/RhoGAP100F/Kat60/Ephrin/Rheb/bchs/Unc-115a/sif/Snoo/jeb/vvl/kra/alpha-Spec/meigo/futsch/Mob4/Cul3/haf/Ank2/Dhc64C/Bsg/Arp3/Src64B/cnc/Dscam4/hts/sick/dally/dysc/sli/smt3/Nrg/Dscam2/ttv/kis/tau/Hsc70-4/Ten-a/unc-104/Ptp61F/Pak/Frl/br/S6k/InR/lola/trol/Fas1/Imp/Rab1/TER94,1.3308334916113906
Biological process,L1_Imp,GO:0050808,synapse organization,111/1159,299/9160,1.5683060513570359e-25,Appl/ben/Lar/ena/Fas2/Galphao/Gs2/kay/dlg1/Atpalpha/pum/put/sesB/sgg/slo/stau/Ten-m/Fur1/Gad1/Syn/pros/mys/Rab3/brat/Rac1/Cdc42/Akt1/Sdc/Sema1a/cpb/nmo/CASK/Nf1/Pi3K92E/Rab11/fz2/Dad/Abi/caps/WASp/Srpk79D/unc-13/par-6/beta4GalNAcTA/Fmr1/Vap33/pod1/Upf2/Frq1/Tao/Syn2/Synj/Liprin-gamma/PIP5K59B/Eps-15/Cip4/sff/cmpy/Arl8/ATP6AP2/dpr9/Sar1/Nrx-1/plum/RhoGAP100F/Cals/Kat60/Aplip1/dpr1/Atx2/Rheb/cpx/wrd/Fsn/bchs/Pak3/Synd/Frq2/dpr12/jeb/alpha-Spec/futsch/mnb/brp/Mob4/Dys/par-1/nej/Ank2/aPKC/Tl/Rbp/Rab8/Arp3/Src64B/cac/nwk/dysc/CaMKII/smt3/Nrg/l(3)neo38/Patr-1/rg/kis/Ten-a/unc-104/Pak/S6k/Imp/Rab1,1.5528812241298355
Biological process,L1_Imp,GO:0048858,cell projection morphogenesis,139/1159,431/9160,2.481706028880743e-25,Appl/ben/Cam/chic/Lar/dnc/ena/Fas2/Fas3/fog/kay/Khc/egh/peb/pum/put/Sh/sm/sn/Tm1/trc/Pp1-87B/ct/Ptp99A/Ptp10D/Galphaq/Ten-m/pros/zfh1/fru/fs(1)h/mys/ci/Mbs/dac/hep/Rac1/Cdc42/Sdc/Wnt4/tutl/msn/Sema1a/Sema2a/babo/Moe/Tig/shot/Rab5/Rac2/Rho1/bif/bnl/fax/Pi3K92E/CadN/Lis-1/Nak/NetB/Vang/fz2/spen/14-3-3epsilon/ko/dom/Dad/Abi/Pka-R2/caps/WASp/PlexA/Smox/RhoGAPp190/jim/msps/jbug/Fmr1/seq/pod1/Dlic/wgn/Tao/Dscam1/Dg/Toll-7/Liprin-gamma/nudE/Toll-6/sff/CG9705/foxo/Sar1/AP-1sigma/RhoGAP100F/Ephrin/Rheb/Unc-115a/sif/Snoo/jeb/vvl/kra/alpha-Spec/meigo/futsch/Mob4/Cul3/haf/Ank2/Dhc64C/Bsg/Src64B/cnc/Dscam4/hts/sick/dally/dysc/sli/smt3/Nrg/Dscam2/ttv/kis/tau/Hsc70-4/Ten-a/unc-104/Ptp61F/Pak/Frl/br/S6k/InR/lola/trol/Fas1/Rab1/TER94,1.349864045612244
Biological process,L1_Imp,GO:0120039,plasma membrane bounded cell projection morphogenesis,139/1159,431/9160,2.481706028880743e-25,Appl/ben/Cam/chic/Lar/dnc/ena/Fas2/Fas3/fog/kay/Khc/egh/peb/pum/put/Sh/sm/sn/Tm1/trc/Pp1-87B/ct/Ptp99A/Ptp10D/Galphaq/Ten-m/pros/zfh1/fru/fs(1)h/mys/ci/Mbs/dac/hep/Rac1/Cdc42/Sdc/Wnt4/tutl/msn/Sema1a/Sema2a/babo/Moe/Tig/shot/Rab5/Rac2/Rho1/bif/bnl/fax/Pi3K92E/CadN/Lis-1/Nak/NetB/Vang/fz2/spen/14-3-3epsilon/ko/dom/Dad/Abi/Pka-R2/caps/WASp/PlexA/Smox/RhoGAPp190/jim/msps/jbug/Fmr1/seq/pod1/Dlic/wgn/Tao/Dscam1/Dg/Toll-7/Liprin-gamma/nudE/Toll-6/sff/CG9705/foxo/Sar1/AP-1sigma/RhoGAP100F/Ephrin/Rheb/Unc-115a/sif/Snoo/jeb/vvl/kra/alpha-Spec/meigo/futsch/Mob4/Cul3/haf/Ank2/Dhc64C/Bsg/Src64B/cnc/Dscam4/hts/sick/dally/dysc/sli/smt3/Nrg/Dscam2/ttv/kis/tau/Hsc70-4/Ten-a/unc-104/Ptp61F/Pak/Frl/br/S6k/InR/lola/trol/Fas1/Rab1/TER94,1.349864045612244
Biological process,L1_Imp,GO:0048812,neuron projection morphogenesis,138/1159,429/9160,4.42813308869519e-25,Appl/ben/Cam/chic/Lar/dnc/ena/Fas2/Fas3/fog/kay/Khc/egh/peb/pum/put/Sh/sm/sn/Tm1/trc/Pp1-87B/ct/Ptp99A/Ptp10D/Galphaq/Ten-m/pros/zfh1/fru/fs(1)h/mys/ci/Mbs/dac/hep/Rac1/Cdc42/Sdc/Wnt4/tutl/msn/Sema1a/Sema2a/babo/Moe/Tig/shot/Rab5/Rac2/Rho1/bif/fax/Pi3K92E/CadN/Lis-1/Nak/NetB/Vang/fz2/spen/14-3-3epsilon/ko/dom/Dad/Abi/Pka-R2/caps/WASp/PlexA/Smox/RhoGAPp190/jim/msps/jbug/Fmr1/seq/pod1/Dlic/wgn/Tao/Dscam1/Dg/Toll-7/Liprin-gamma/nudE/Toll-6/sff/CG9705/foxo/Sar1/AP-1sigma/RhoGAP100F/Ephrin/Rheb/Unc-115a/sif/Snoo/jeb/vvl/kra/alpha-Spec/meigo/futsch/Mob4/Cul3/haf/Ank2/Dhc64C/Bsg/Src64B/cnc/Dscam4/hts/sick/dally/dysc/sli/smt3/Nrg/Dscam2/ttv/kis/tau/Hsc70-4/Ten-a/unc-104/Ptp61F/Pak/Frl/br/S6k/InR/lola/trol/Fas1/Rab1/TER94,1.3461576512564581
Biological process,L1_Imp,GO:0032990,cell part morphogenesis,140/1159,439/9160,4.42813308869519e-25,Appl/ben/Cam/chic/Lar/dnc/ena/Fas2/Fas3/fog/kay/Khc/egh/peb/pum/put/Sh/sm/sn/Tm1/trc/Pp1-87B/ct/Ptp99A/Ptp10D/Galphaq/Ten-m/pros/zfh1/fru/fs(1)h/mys/ci/Mbs/dac/hep/Rac1/Cdc42/Sdc/Wnt4/tutl/msn/Sema1a/Sema2a/babo/Moe/Tig/shot/Rab5/Rac2/Rho1/bif/bnl/fax/Pi3K92E/CadN/Lis-1/Nak/NetB/Vang/fz2/spen/Mitofilin/14-3-3epsilon/ko/dom/Dad/Abi/Pka-R2/caps/WASp/PlexA/Smox/RhoGAPp190/jim/msps/jbug/Fmr1/seq/pod1/Dlic/wgn/Tao/Dscam1/Dg/Toll-7/Liprin-gamma/nudE/Toll-6/sff/CG9705/foxo/Sar1/AP-1sigma/RhoGAP100F/Ephrin/Rheb/Unc-115a/sif/Snoo/jeb/vvl/kra/alpha-Spec/meigo/futsch/Mob4/Cul3/haf/Ank2/Dhc64C/Bsg/Src64B/cnc/Dscam4/hts/sick/dally/dysc/sli/smt3/Nrg/Dscam2/ttv/kis/tau/Hsc70-4/Ten-a/unc-104/Ptp61F/Pak/Frl/br/S6k/InR/lola/trol/Fas1/Rab1/TER94,1.3336729193874428
