gene_id,RBP,gene_name,phenotype,is_phenotype
FBgn0000014,imp_targets,NA,pheno_NB_larger,FALSE
FBgn0000014,imp_targets,NA,pheno_NB_smaller,FALSE
FBgn0000014,imp_targets,NA,pheno_NB_less,FALSE
FBgn0000014,imp_targets,NA,pheno_NB_more,FALSE
FBgn0000014,imp_targets,NA,pheno_NB_abnormalshape,FALSE
FBgn0000014,imp_targets,NA,pheno_GMC_larger,FALSE
FBgn0000014,imp_targets,NA,pheno_GMC_smaller,FALSE
FBgn0000014,imp_targets,NA,pheno_GMC_shorterlineage,FALSE
FBgn0000014,imp_targets,NA,pheno_GMC_longerlineage,FALSE
FBgn0000014,imp_targets,NA,pheno_GMC_abnormalshape,FALSE
FBgn0000014,imp_targets,NA,pheno_GFP_aggregatenumber,FALSE
FBgn0000014,imp_targets,NA,pheno_GFP_aggregatesize,FALSE
FBgn0000014,imp_targets,NA,pheno_Underproliferation,FALSE
FBgn0000014,imp_targets,NA,pheno_Overproliferation,FALSE
FBgn0000024,imp_targets,NA,pheno_NB_larger,FALSE
FBgn0000024,imp_targets,NA,pheno_NB_smaller,FALSE
FBgn0000024,imp_targets,NA,pheno_NB_less,FALSE
FBgn0000024,imp_targets,NA,pheno_NB_more,FALSE
FBgn0000024,imp_targets,NA,pheno_NB_abnormalshape,FALSE
FBgn0000024,imp_targets,NA,pheno_GMC_larger,FALSE
FBgn0000024,imp_targets,NA,pheno_GMC_smaller,FALSE
FBgn0000024,imp_targets,NA,pheno_GMC_shorterlineage,FALSE
FBgn0000024,imp_targets,NA,pheno_GMC_longerlineage,FALSE
FBgn0000024,imp_targets,NA,pheno_GMC_abnormalshape,FALSE
FBgn0000024,imp_targets,NA,pheno_GFP_aggregatenumber,FALSE
FBgn0000024,imp_targets,NA,pheno_GFP_aggregatesize,FALSE
FBgn0000024,imp_targets,NA,pheno_Underproliferation,FALSE
FBgn0000024,imp_targets,NA,pheno_Overproliferation,FALSE
FBgn0000036,imp_targets,NA,pheno_NB_larger,FALSE
FBgn0000036,imp_targets,NA,pheno_NB_smaller,FALSE
FBgn0000036,imp_targets,NA,pheno_NB_less,FALSE
FBgn0000036,imp_targets,NA,pheno_NB_more,FALSE
FBgn0000036,imp_targets,NA,pheno_NB_abnormalshape,FALSE
FBgn0000036,imp_targets,NA,pheno_GMC_larger,FALSE
FBgn0000036,imp_targets,NA,pheno_GMC_smaller,FALSE
FBgn0000036,imp_targets,NA,pheno_GMC_shorterlineage,FALSE
FBgn0000036,imp_targets,NA,pheno_GMC_longerlineage,FALSE
FBgn0000036,imp_targets,NA,pheno_GMC_abnormalshape,FALSE
FBgn0000036,imp_targets,NA,pheno_GFP_aggregatenumber,FALSE
FBgn0000036,imp_targets,NA,pheno_GFP_aggregatesize,FALSE
FBgn0000036,imp_targets,NA,pheno_Underproliferation,FALSE
FBgn0000036,imp_targets,NA,pheno_Overproliferation,FALSE
FBgn0000037,imp_targets,NA,pheno_NB_larger,FALSE
FBgn0000037,imp_targets,NA,pheno_NB_smaller,FALSE
FBgn0000037,imp_targets,NA,pheno_NB_less,FALSE
FBgn0000037,imp_targets,NA,pheno_NB_more,FALSE
FBgn0000037,imp_targets,NA,pheno_NB_abnormalshape,FALSE
FBgn0000037,imp_targets,NA,pheno_GMC_larger,FALSE
FBgn0000037,imp_targets,NA,pheno_GMC_smaller,FALSE
FBgn0000037,imp_targets,NA,pheno_GMC_shorterlineage,FALSE
FBgn0000037,imp_targets,NA,pheno_GMC_longerlineage,FALSE
FBgn0000037,imp_targets,NA,pheno_GMC_abnormalshape,FALSE
FBgn0000037,imp_targets,NA,pheno_GFP_aggregatenumber,FALSE
FBgn0000037,imp_targets,NA,pheno_GFP_aggregatesize,FALSE
FBgn0000037,imp_targets,NA,pheno_Underproliferation,FALSE
FBgn0000037,imp_targets,NA,pheno_Overproliferation,FALSE
FBgn0000038,imp_targets,NA,pheno_NB_larger,FALSE
FBgn0000038,imp_targets,NA,pheno_NB_smaller,FALSE
FBgn0000038,imp_targets,NA,pheno_NB_less,FALSE
FBgn0000038,imp_targets,NA,pheno_NB_more,FALSE
FBgn0000038,imp_targets,NA,pheno_NB_abnormalshape,FALSE
FBgn0000038,imp_targets,NA,pheno_GMC_larger,FALSE
FBgn0000038,imp_targets,NA,pheno_GMC_smaller,FALSE
FBgn0000038,imp_targets,NA,pheno_GMC_shorterlineage,FALSE
FBgn0000038,imp_targets,NA,pheno_GMC_longerlineage,FALSE
FBgn0000038,imp_targets,NA,pheno_GMC_abnormalshape,FALSE
FBgn0000038,imp_targets,NA,pheno_GFP_aggregatenumber,FALSE
FBgn0000038,imp_targets,NA,pheno_GFP_aggregatesize,FALSE
FBgn0000038,imp_targets,NA,pheno_Underproliferation,FALSE
FBgn0000038,imp_targets,NA,pheno_Overproliferation,FALSE
FBgn0000042,imp_targets,NA,pheno_NB_larger,FALSE
FBgn0000042,imp_targets,NA,pheno_NB_smaller,FALSE
