entry,name,area,mean,min,max,intden,rawintden,norm_density,genotype,clone
1,20230717_WT_DAPI_GFP_Phal_Puro_60x_001.tiff:0028-0541-1054:30,1.331e-6,2855.108,1699,4078,0.004,32371212,1.702320054797869,Wildtype,NA
2,20230717_WT_DAPI_GFP_Phal_Puro_60x_001.tiff:0028-0408-1181:30,1.257e-6,2649.168,1842,3764,0.003,28375240,1.5685673256894714,Wildtype,NA
3,20230717_WT_DAPI_GFP_Phal_Puro_60x_001.tiff:0028-0933-1089:30,9.966e-7,3325.88,1684,4781,0.003,28243375,2.0099680283372727,Wildtype,NA
4,20230717_WT_DAPI_GFP_Phal_Puro_60x_001.tiff:0028-0996-1154:30,1.053e-6,3398.063,2202,4716,0.004,30484020,2.05666201314553,Wildtype,NA
5,20230717_WT_DAPI_GFP_Phal_Puro_60x_001.tiff:0028-0745-1536:30,1.35e-6,2992.646,1747,4194,0.004,34433384,1.7930536738925649,Wildtype,NA
6,20230717_WT_DAPI_GFP_Phal_Puro_60x_001.tiff:0019-0848-1453:21,1.48e-6,3289.616,1984,5160,0.005,41478771,1.9859661101823978,Wildtype,NA
7,20230717_WT_DAPI_GFP_Phal_Puro_60x_001.tiff:0022-1001-1329:24,1.047e-6,3501.1,2166,5150,0.004,31247315,2.1251716672185483,Wildtype,NA
8,20230717_WT_DAPI_GFP_Phal_Puro_60x_001.tiff:0019-1305-1527:21,1.547e-6,4296.426,2192,5824,0.007,56626892,2.642647390176276,Wildtype,NA
9,20230717_WT_DAPI_GFP_Phal_Puro_60x_001.tiff:0034-1195-1438:36,1.195e-6,3108.922,1211,4683,0.004,31655046,1.8683334068362611,Wildtype,NA
10,20230717_WT_DAPI_GFP_Phal_Puro_60x_001.tiff:0040-1621-1146:42,1.3e-6,2681.06,1595,3930,0.003,29687375,1.5886749948246597,Wildtype,NA
11,20230717_WT_DAPI_GFP_Phal_Puro_60x_001.tiff:0052-1893-1101:54,1.368e-6,2386.237,1626,3340,0.003,27818751,1.3972085095760036,Wildtype,NA
12,20230717_WT_DAPI_GFP_Phal_Puro_60x_001.tiff:0049-1198-1651:51,9.322e-7,2899.449,1658,4164,0.003,23030326,1.731745328294545,Wildtype,NA
13,20230717_WT_DAPI_GFP_Phal_Puro_60x_001.tiff:0025-0150-1221:27,7.075e-7,2450.44,1648,3340,0.002,14771251,1.4387575575169655,Wildtype,NA
14,20230717_WT_DAPI_GFP_Phal_Puro_60x_001.tiff:0028-0168-0924:30,1.041e-6,2182.13,1303,3220,0.002,19364222,1.2644820250461597,Wildtype,NA
15,20230717_WT_DAPI_GFP_Phal_Puro_60x_001.tiff:0025-0773-1666:27,1.134e-6,3799.836,2332,5381,0.004,36717812,2.3191878994017254,Wildtype,NA
16,20230717_WT_DAPI_GFP_Phal_Puro_60x_001.tiff:0019-0433-1453:21,9.78e-7,3595.667,2344,5229,0.004,29962694,2.185808011132664,Wildtype,NA
