exp_string,gene_id,gene_name,exist,score,norm_binding,norm_binding_z,norm_binding_rescale,cluster_id,cluster_code,cluster_description,gene_count,cluster_id_label
L1 Imp,FBgn0000014,abd-A,3,41.55947255284174,2.5708181119551865,1.423766587690817,1,Cluster I,High_Imp,Higher Imp binding,423,I
L1 Imp,FBgn0000017,Abl,3,17.85112331953979,0.7367154818132963,-0.30165667836650606,-0.5762864501441585,Cluster III,High_Syp,Higher Syp binding,367,III
L1 Imp,FBgn0000024,Ace,3,178.08505418132688,1.9421644026987785,1.1922704900599848,1,Cluster II,High_Imp,Higher Imp binding,763,II
L1 Imp,FBgn0000036,nAChRalpha1,3,351.8510415088172,2.2698239162970313,1.153421504758445,1,Cluster I,High_Imp,Higher Imp binding,423,I
L1 Imp,FBgn0000037,mAChR-A,3,69.31457444589043,2.388223980721619,1.1955307442932066,1,Cluster I,High_Imp,Higher Imp binding,423,I
L1 Imp,FBgn0000038,nAChRbeta1,3,29.870645830209902,2.068224466780492,1.0150100131217745,1,Cluster II,High_Imp,Higher Imp binding,763,II
L1 Imp,FBgn0000042,Act5C,3,3338.7083161096984,1.3570328298819605,0.8005703975658022,0.9032374463054493,Cluster II,High_Imp,Higher Imp binding,763,II
L1 Imp,FBgn0000043,Act42A,3,140.95514892183968,0.3083538445814123,-0.9300604167753541,-1,Cluster V,Peak_L2Syp,Peak L2 Syp binding,300,V
L1 Imp,FBgn0000046,Act87E,3,614.804599115007,1.2664646844762353,0.37293739783437446,0.5910833842335135,Cluster II,High_Imp,Higher Imp binding,763,II
L1 Imp,FBgn0000064,Ald1,3,2554.1235102857627,1.5505499562957712,0.6223635606537921,0.5745840231277812,Cluster II,High_Imp,Higher Imp binding,763,II
L1 Imp,FBgn0000083,AnxB9,3,177.42878717588414,1.427638680306674,0.6858187247413173,0.8003847551781491,Cluster II,High_Imp,Higher Imp binding,763,II
L1 Imp,FBgn0000100,RpLP0,3,13.654971720312616,0.08466935522962657,-0.8573488861616817,-1,Cluster IV,High_Syp,Higher Syp binding,167,IV
L1 Imp,FBgn0000108,Appl,3,466.17353614179586,1.0879438139049973,0.13495200061016877,0.4913625253130449,Cluster VI,Other,Other,102,VI
L1 Imp,FBgn0000116,Argk,3,157.21636964151702,0.46081848915387014,-1.3143896033931082,-1,Cluster III,High_Syp,Higher Syp binding,367,III
L1 Imp,FBgn0000117,arm,3,41.90376509464031,0.9557622622046246,-0.07309406819459321,-0.1352328850584511,Cluster II,High_Imp,Higher Imp binding,763,II
L1 Imp,FBgn0000150,awd,3,9.183291603139924,0.17885611498375106,-0.9825681043642351,-1,Cluster IV,High_Syp,Higher Syp binding,167,IV
L1 Imp,FBgn0000173,ben,3,257.02770961748024,1.2756772962910634,0.5883950786573301,1,Cluster VI,Other,Other,102,VI
L1 Imp,FBgn0000179,bi,3,35.467614452600934,1.0692114372353037,0.1721394358259094,0.18517221948318174,Cluster II,High_Imp,Higher Imp binding,763,II
L1 Imp,FBgn0000229,bsk,3,11.113434235274555,0.8294115023628599,-0.3249295984734226,-0.31736753613088065,Cluster VI,Other,Other,102,VI
L1 Imp,FBgn0000239,bur,3,16.42540842581205,0.4687306958700828,-0.820006289708833,-0.9272057752951676,Cluster IV,High_Syp,Higher Syp binding,167,IV
L1 Imp,FBgn0000250,cact,3,15.886003890670386,0.6107935855058734,-0.3788702931462594,-0.7183286312323782,Cluster V,Peak_L2Syp,Peak L2 Syp binding,300,V
L1 Imp,FBgn0000253,Cam,3,9162.241580174554,1.9882279439063189,1.0662455718668113,1,Cluster II,High_Imp,Higher Imp binding,763,II
L1 Imp,FBgn0000259,CkIIbeta,3,1831.8494494922725,2.248005361553023,1.2226014255528856,1,Cluster I,High_Imp,Higher Imp binding,423,I
L1 Imp,FBgn0000261,Cat,3,2.6322428841622982,0.09866212268085835,-0.9650791245737238,-1,Cluster IV,High_Syp,Higher Syp binding,167,IV
L1 Imp,FBgn0000273,Pka-C1,3,1753.3081065113251,2.131570255770324,1.2322576175741353,1,Cluster I,High_Imp,Higher Imp binding,423,I
