file_name,cell_id,cell_area,channel,nb_rna,depth,gene,genotype,compartment
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,39,20890,1,12,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,45,9119,1,22,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,58,9810,1,7,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,124,14695,1,6,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,149,13316,1,7,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,151,10546,1,9,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,179,7664,1,8,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,232,21024,1,9,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,241,5216,1,8,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,247,7168,1,8,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,276,23152,1,18,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,277,10407,1,7,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,308,12515,1,17,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,334,4866,1,7,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,344,7942,1,6,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,347,3594,1,6,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,398,10744,1,11,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,426,12133,1,6,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,444,11291,1,6,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,483,19032,1,7,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,501,4809,1,7,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,550,10156,1,12,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,599,3678,1,6,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,42,9556,2,13,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,69,10363,2,7,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,93,6987,2,17,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,151,10546,2,7,shallow,mamo,Wildtype,VNC
