gene_id,combined_patterns,ALNB_clusters,T2NB_clusters,MBNB_clusters,gene_name,temporal_group,imp_target,syp_target,RBP target,cluster_id,Cluster profile,cluster_code,gene_biotype
FBgn0000024,Down-regulated;NA;NA,Down-regulated,NA,NA,Ace,early,TRUE,FALSE,Imp target only,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0000064,Up-regulated;NA;Peak-3,Up-regulated,NA,Peak-3,Ald1,late,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0000100,Peak-2;Peak-1;Down-regulated,Peak-2,Peak-1,Down-regulated,RpLP0,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0000114,Peak-1;NA;NA,Peak-1,NA,NA,bru1,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0000116,Peak-2;Up-regulated;Up-regulated,Peak-2,Up-regulated,Up-regulated,Argk,late,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0000139,Up-regulated;V3-regulated;NA,Up-regulated,V3-regulated,NA,ash2,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0000140,Up-regulated;Up-regulated;Peak-3,Up-regulated,Up-regulated,Peak-3,asp,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0000229,Up-regulated;NA;NA,Up-regulated,NA,NA,bsk,late,TRUE,FALSE,Imp target only,Cluster VI,Other,Other,protein_coding
FBgn0000261,Up-regulated;NA;NA,Up-regulated,NA,NA,Cat,late,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0000404,Up-regulated;Up-regulated;Up-regulated,Up-regulated,Up-regulated,Up-regulated,CycA,late,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0000405,Up-regulated;Up-regulated;Up-regulated,Up-regulated,Up-regulated,Up-regulated,CycB,late,FALSE,TRUE,Syp target only,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0000411,Peak-2;Peak-3;NA,Peak-2,Peak-3,NA,D,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0000426,Up-regulated;NA;NA,Up-regulated,NA,NA,SmF,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0000492,Peak-3;NA;NA,Peak-3,NA,NA,Dr,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0000546,Peak-3;Peak-3;NA,Peak-3,Peak-3,NA,EcR,late,TRUE,TRUE,Co-target,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0000559,Peak-2;Peak-1;Down-regulated,Peak-2,Peak-1,Down-regulated,eEF2,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0000560,Peak-3;NA;NA,Peak-3,NA,NA,eg,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0000566,Up-regulated;NA;NA,Up-regulated,NA,NA,Eip55E,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0000568,Mid-peaks;Down-regulated;Up-regulated,Mid-peaks,Down-regulated,Up-regulated,Eip75B,late,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0000576,Down-regulated;NA;NA,Down-regulated,NA,NA,ems,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0000579,Up-regulated;Up-regulated;Mid-peaks,Up-regulated,Up-regulated,Mid-peaks,Eno,late,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0000615,Up-regulated;NA;NA,Up-regulated,NA,NA,exu,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0000633,Peak-3;NA;NA,Peak-3,NA,NA,CG17716,late,TRUE,TRUE,Co-target,Cluster VI,Other,Other,protein_coding
FBgn0000723,Peak-3;NA;NA,Peak-3,NA,NA,FER,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0001083,Peak-3;NA;NA,Peak-3,NA,NA,fw,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0001086,Up-regulated;Up-regulated;NA,Up-regulated,Up-regulated,NA,fzy,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0001091,Peak-3;Up-regulated;Mid-peaks,Peak-3,Up-regulated,Mid-peaks,Gapdh1,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0001092,Mid-peaks;Down-regulated;Mid-peaks,Mid-peaks,Down-regulated,Mid-peaks,Gapdh2,early,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0001098,Mid-peaks;NA;Mid-peaks,Mid-peaks,NA,Mid-peaks,Gdh,early,TRUE,TRUE,Co-target,Cluster V,Peak at L2 Syp,Peak_L2Syp,protein_coding
FBgn0001098,Mid-peaks;NA;Mid-peaks,Mid-peaks,NA,Mid-peaks,Gdh,late,TRUE,TRUE,Co-target,Cluster V,Peak at L2 Syp,Peak_L2Syp,protein_coding
FBgn0001105,Fluctuating;Down-regulated;NA,Fluctuating,Down-regulated,NA,Gbeta13F,early,TRUE,TRUE,Co-target,Cluster VI,Other,Other,protein_coding
FBgn0001149,Down-regulated;Down-regulated;Down-regulated,Down-regulated,Down-regulated,Down-regulated,GstD1,early,FALSE,TRUE,Syp target only,Cluster V,Peak at L2 Syp,Peak_L2Syp,protein_coding
FBgn0001186,Up-regulated;NA;NA,Up-regulated,NA,NA,Hex-A,late,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0001197,Up-regulated;NA;NA,Up-regulated,NA,NA,His2Av,late,TRUE,TRUE,Co-target,Cluster VI,Other,Other,protein_coding
FBgn0001215,Up-regulated;NA;NA,Up-regulated,NA,NA,Hrb98DE,late,TRUE,TRUE,Co-target,Cluster VI,Other,Other,protein_coding
FBgn0001226,Up-regulated;NA;NA,Up-regulated,NA,NA,Hsp27,late,FALSE,TRUE,Syp target only,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0001227,Up-regulated;Up-regulated;Up-regulated,Up-regulated,Up-regulated,Up-regulated,Hsp67Ba,late,FALSE,TRUE,Syp target only,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0001325,Peak-1;NA;NA,Peak-1,NA,NA,Kr,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0001986,Peak-2;NA;NA,Peak-2,NA,NA,Mtr4,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0002466,Peak-2;NA;Up-regulated,Peak-2,NA,Up-regulated,sti,late,FALSE,TRUE,Syp target only,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0002579,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpL36,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0002590,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpS5a,early,FALSE,TRUE,Syp target only,Cluster V,Peak at L2 Syp,Peak_L2Syp,protein_coding
FBgn0002593,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpLP1,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0002626,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpL32,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0002638,Up-regulated;Up-regulated;Up-regulated,Up-regulated,Up-regulated,Up-regulated,Rcc1,late,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0002932,Peak-3;Up-regulated;NA,Peak-3,Up-regulated,NA,neur,late,FALSE,TRUE,Syp target only,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0003002,Up-regulated;NA;Peak-1,Up-regulated,NA,Peak-1,opa,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0003062,Down-regulated;NA;Peak-1,Down-regulated,NA,Peak-1,Fib,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0003159,Mid-peaks;Down-regulated;Down-regulated,Mid-peaks,Down-regulated,Down-regulated,CG2841,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0003175,Peak-3;NA;Down-regulated,Peak-3,NA,Down-regulated,px,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0003274,Peak-2;NA;NA,Peak-2,NA,NA,RpLP2,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0003279,Peak-2;Peak-1;Down-regulated,Peak-2,Peak-1,Down-regulated,RpL4,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0003310,Down-regulated;NA;NA,Down-regulated,NA,NA,S,early,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
