filename,condition,RNA_mature,RNA_nascent,txn_rate,decay_rate,half_life
20240409_WT_DAPI_Imp-exon_Ldh-exon_Pdp1-exon_100x_00001_output,Wildtype,29068,685,74277.10843373496,3.378090592727316,12.311342662962687
20240409_WT_DAPI_Imp-exon_Ldh-exon_Pdp1-exon_100x_00002_output,Wildtype,24118,600,65060.24096385544,3.5662011175975157,11.661942067253445
20240409_WT_DAPI_Imp-exon_Ldh-exon_Pdp1-exon_100x_00003_output,Wildtype,26686,560,60722.89156626506,3.0081564359815043,13.825355070015522
20240409_WT_DAPI_Imp-exon_Ldh-exon_Pdp1-exon_100x_00004_output,Wildtype,26471,603,65385.54216867471,3.2654484812431703,12.73602418549371
20240409_WT_DAPI_Imp-exon_Ldh-exon_Pdp1-exon_100x_00005_output,Wildtype,16388,287,31120.481927710847,2.5104513734704508,16.566276197616315
20240409_insc-ImpRNAi_DAPI_Imp-exon_Ldh-exon_Pdp1-exon_100x_00001_output,Imp RNAi,15127,415,45000,3.9327031136378663,10.57512597108451
20240409_insc-ImpRNAi_DAPI_Imp-exon_Ldh-exon_Pdp1-exon_100x_00002_output,Imp RNAi,16657,497,53891.566265060246,4.277159788822096,9.723469051187829
20240409_insc-ImpRNAi_DAPI_Imp-exon_Ldh-exon_Pdp1-exon_100x_00003_output,Imp RNAi,14090,424,45975.90361445784,4.3137079189718435,9.641086419107685
20240409_insc-ImpRNAi_DAPI_Imp-exon_Ldh-exon_Pdp1-exon_100x_00004_output,Imp RNAi,19161,532,57686.74698795181,3.9800573831257395,10.449304326596144
20240409_insc-ImpRNAi_DAPI_Imp-exon_Ldh-exon_Pdp1-exon_100x_00005_output,Imp RNAi,21033,690,74819.27710843374,4.7026617380948705,8.843678994961069
20240410_WT_DAPI_imp-exon_Ldh-int_Ldh-exon_100x_00001_output,Wildtype,35914,1108,120144.57831325303,4.422540862341163,9.40383189847585
20240410_WT_DAPI_imp-exon_Ldh-int_Ldh-exon_100x_00002_output,Wildtype,27481,848,91951.80722891568,4.42343033938454,9.401940946894902
20240410_WT_DAPI_imp-exon_Ldh-int_Ldh-exon_100x_00003_output,Wildtype,35670,1023,110927.71084337353,4.111198030135683,10.115988217727413
20240410_WT_DAPI_imp-exon_Ldh-int_Ldh-exon_100x_00004_output,Wildtype,22185,451,48903.614457831325,2.9141572374691465,14.271306399964644
20240410_WT_DAPI_imp-exon_Ldh-int_Ldh-exon_100x_00005_output,Wildtype,33419,1236,134024.0963855422,5.301770113459014,7.844329335973994
20240410_WT_DAPI_imp-exon_Ldh-int_Ldh-exon_100x_00006_output,Wildtype,32655,883,95746.98795180724,3.8762063412123466,10.729261337668916
20240410_insc-ImpRNAi_DAPI_imp-exon_Ldh-int_Ldh-exon_100x_00001_output,Imp RNAi,20055,888,96289.15662650604,6.347258292707105,6.552251210791532
20240410_insc-ImpRNAi_DAPI_imp-exon_Ldh-int_Ldh-exon_100x_00002_output,Imp RNAi,29446,1493,161891.56626506028,7.268241886925549,5.7219932248551935
20240410_insc-ImpRNAi_DAPI_imp-exon_Ldh-int_Ldh-exon_100x_00003_output,Imp RNAi,21704,786,85228.91566265062,5.19133000857096,8.011209220938174
20240410_insc-ImpRNAi_DAPI_imp-exon_Ldh-int_Ldh-exon_100x_00004_output,Imp RNAi,12779,406,44024.09638554217,4.55433566176436,9.131700849973168
20240410_insc-ImpRNAi_DAPI_imp-exon_Ldh-int_Ldh-exon_100x_00005_output,Imp RNAi,28363,1324,143566.26506024098,6.691626499652314,6.215055612526731
20240410_insc-ImpRNAi_DAPI_imp-exon_Ldh-int_Ldh-exon_100x_00006_output,Imp RNAi,30539,1259,136518.07228915664,5.909718444162058,7.037362477848743
