gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,padj,syp_target,imp_target,RBP_target,cluster_id,cluster_description,cluster_code,gene_biotype,label,label_colour_id,exp
FBgn0034253,CG10936,1544.800252,-3.543800184,0.26446835,-13.41650846,8.80851e-38,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0011293,a10,114.3143466,-2.824133608,0.300244391,-9.118429792,5.20206e-17,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0001217,Hsc70-2,187.0652003,-2.771117427,0.31706573,-8.82333874,6.06588e-16,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0038290,CG6912,435.8350623,-2.710145308,0.258317292,-10.44685739,1.3782999999999999e-22,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0004191,U2:34ABa,63.52021958,-2.599276385,0.305209686,-8.063083147,3.24952e-13,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0010241,Mdr50,48.1052752,-2.42489049,0.324733085,-7.003954069,6.96746e-10,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0267160,CR45600,754.76935,-2.266212033,0.272714897,-8.321177194,4.32303e-14,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0038301,CG6654,1041.4624,-2.204926491,0.193369901,-11.38807244,5.235909999999999e-27,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0033725,Cpr49Ac,252.1045098,-2.194181986,0.233124993,-9.355732708,6.0440200000000006e-18,TRUE,FALSE,Syp target only,Cluster V,"Peak L2 Syp
binding",Peak_L2Syp,protein_coding,NA,3,Syp KO L3 brain RNA-seq
FBgn0051004,mesh,93.99416714,-2.131662929,0.235922502,-8.862175942,4.50982e-16,FALSE,TRUE,Imp target only,Cluster I,"Higher Imp
binding",High_Imp,protein_coding,NA,3,Syp KO L3 brain RNA-seq
FBgn0040299,Myo28B1,57.0475065,-2.129416966,0.285517679,-7.23629374,1.43867e-10,FALSE,TRUE,Imp target only,Cluster I,"Higher Imp
binding",High_Imp,protein_coding,NA,3,Syp KO L3 brain RNA-seq
FBgn0262636,dati,4011.27826,-2.096601373,0.253292014,-8.287817966,5.24819e-14,TRUE,FALSE,Syp target only,Cluster III,"Higher Syp
binding",High_Syp,protein_coding,NA,3,Syp KO L3 brain RNA-seq
FBgn0004870,bab1,598.8090461,-2.066047907,0.275586041,-7.505826932,2.22193e-11,TRUE,FALSE,Syp target only,Cluster III,"Higher Syp
binding",High_Syp,protein_coding,NA,3,Syp KO L3 brain RNA-seq
FBgn0033980,Cyp6a20,26.04188775,-2.045608251,0.319794701,-5.944271176,5.13961e-7,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0003046,Pcp,92.19264385,-1.996565883,0.315408416,-6.328985234,5.28397e-8,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0037487,thw,171.1893119,-1.9322354,0.284970649,-6.757718714,3.47905e-9,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0032235,CG5096,30.29219081,-1.910126003,0.315560144,-5.799044797,1.10348e-6,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0037807,CG6293,100.8210769,-1.80869264,0.246121438,-7.272596193,1.2034e-10,FALSE,TRUE,Imp target only,Cluster I,"Higher Imp
binding",High_Imp,protein_coding,NA,3,Syp KO L3 brain RNA-seq
FBgn0034275,CG5002,172.0588141,-1.774735594,0.220483387,-8.003656627,4.88479e-13,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0038826,Syp,22410.01327,-1.77136131,0.222821762,-7.952474383,7.13008e-13,TRUE,TRUE,Co-target,Cluster III,"Higher Syp
binding",High_Syp,protein_coding,Syp,2,Syp KO L3 brain RNA-seq
FBgn0265254,CR44268,12.28828045,-1.770817872,0.327281592,-4.535360473,4.54031e-4,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0032405,firl,48.26009303,-1.716195313,0.299904211,-5.627758116,2.76893e-6,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0037548,CG7900,19.95943196,-1.713873403,0.328442931,-4.973254406,7.33625e-5,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0264267,CR43767,38.26387996,-1.699695716,0.324098843,-5.520314908,4.99358e-6,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0036816,Indy,295.4001352,-1.653662706,0.247086522,-6.679794226,5.80648e-9,TRUE,TRUE,Co-target,Cluster II,"Higher Imp
binding",High_Imp,protein_coding,NA,3,Syp KO L3 brain RNA-seq
FBgn0266084,Fhos,570.2581123,-1.615438968,0.20105871,-8.026059674,4.22744e-13,TRUE,FALSE,Syp target only,Cluster V,"Peak L2 Syp
binding",Peak_L2Syp,protein_coding,NA,3,Syp KO L3 brain RNA-seq
FBgn0263656,CG43647,25.02836649,-1.607298763,0.322595311,-4.855874014,1.21189e-4,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0250839,CG2016,145.4525326,-1.596807938,0.268575752,-5.923136137,5.6544e-7,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0053922,CG33922,9.809492226,-1.56988145,0.324684625,-4.222352314,0.00155299,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0051157,CG31157,19.64164466,-1.56164204,0.325130151,-4.717669627,2.15297e-4,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0038716,CG7342,37.00049692,-1.557962993,0.301371087,-5.07998891,4.48025e-5,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0029807,CG3108,35.94875848,-1.551306936,0.306994736,-4.968096672,7.45795e-5,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0262531,CG43085,187.668444,-1.550308131,0.321386014,-4.884952721,1.06577e-4,TRUE,FALSE,Syp target only,Cluster III,"Higher Syp
binding",High_Syp,protein_coding,NA,3,Syp KO L3 brain RNA-seq
FBgn0000477,DNaseII,151.9066944,-1.547589339,0.319751489,-4.88651099,1.06577e-4,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0052801,CG32801,153.9094615,-1.536724496,0.268330512,-5.711884809,1.79428e-6,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0035193,CG9192,46.22161446,-1.463009931,0.294848342,-4.904314705,1.00372e-4,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0039955,CG41099,2071.7051,-1.44308756,0.205198207,-7.031766545,5.86044e-10,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0004865,Eip78C,333.5196433,-1.440774593,0.198043078,-7.263632503,1.24697e-10,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0031974,CG12560,20.08511842,-1.416283229,0.319296107,-4.31498763,0.001089351,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0266777,CR45242,294.9897763,-1.41302985,0.236715017,-5.961911765,4.69379e-7,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0262972,cherub,64095.85644,-1.409568935,0.264088252,-5.343004532,1.23246e-5,TRUE,TRUE,Co-target,Cluster III,"Higher Syp
binding",High_Syp,ncRNA,NA,3,Syp KO L3 brain RNA-seq
FBgn0035484,CG11594,34.23418889,-1.407389802,0.318255256,-4.381154111,8.53729e-4,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0037613,Cks85A,114.9708564,-1.400859046,0.248366694,-5.615968851,2.92393e-6,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0033668,exp,59.73128963,-1.392650461,0.261940383,-5.267533062,1.7557e-5,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0038720,CG6231,330.4256033,-1.384631528,0.20234555,-6.832885067,2.16381e-9,FALSE,TRUE,Imp target only,Cluster I,"Higher Imp
binding",High_Imp,protein_coding,NA,3,Syp KO L3 brain RNA-seq
FBgn0034468,Obp56a,17.2082649,-1.384255205,0.328859746,-4.153290942,0.00198154,TRUE,FALSE,Syp target only,Cluster V,"Peak L2 Syp
binding",Peak_L2Syp,protein_coding,NA,3,Syp KO L3 brain RNA-seq
FBgn0263746,CR43671,10.64792897,-1.374681117,0.326493162,-3.965248417,0.00368783,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0038422,CG14880,18.05143791,-1.342187733,0.320867146,-4.071620426,0.002614484,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0032252,loh,195.150921,-1.3394781,0.224066934,-5.963424718,4.69379e-7,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0265067,CR44178,12.64150111,-1.330343716,0.323089989,-4.023757554,0.003021563,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0063127,CR33938,2389.74113,-1.330068233,0.16010221,-8.306239307,4.69004e-14,TRUE,TRUE,Co-target,Cluster III,"Higher Syp
binding",High_Syp,ncRNA,NA,3,Syp KO L3 brain RNA-seq
FBgn0262532,CR43086,7.865769952,-1.329532831,0.313734193,-4.50654362,5.0672e-4,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0263655,CG43646,23.40777143,-1.322713216,0.316449369,-4.105716683,0.002341197,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0037811,CG12592,64.05325399,-1.318621937,0.289315345,-4.534305302,4.54031e-4,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0040817,CG14132,38.30646026,-1.312882841,0.291960928,-4.444557527,6.49835e-4,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0259682,Jabba,65.70076273,-1.309807602,0.275070279,-4.729985692,2.07791e-4,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0039642,CG11882,163.6244728,-1.304372329,0.240959356,-5.40116236,9.03773e-6,TRUE,FALSE,Syp target only,Cluster III,"Higher Syp
binding",High_Syp,protein_coding,NA,3,Syp KO L3 brain RNA-seq
FBgn0001089,Gal,151.5008546,-1.28487267,0.315881473,-4.086408667,0.002491704,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0037973,CG18547,64.32983945,-1.280459084,0.288765839,-4.408647692,7.62334e-4,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0038925,Cchl,491.4744567,-1.277972855,0.210359357,-6.071000974,2.52382e-7,TRUE,FALSE,Syp target only,N/A,N/A,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0000153,b,20.32882009,-1.273870501,0.328797775,-3.8893715,0.00457294,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0086662,Psi28S-3186,15.85849969,-1.266631152,0.327162042,-3.785611128,0.006224452,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0030665,CG15646,385.627272,-1.262546443,0.295711212,-4.277635065,0.001265443,TRUE,FALSE,Syp target only,Cluster III,"Higher Syp
binding",High_Syp,protein_coding,NA,3,Syp KO L3 brain RNA-seq
FBgn0263047,CG43342,141.871373,-1.258568897,0.212373861,-5.90787787,6.10362e-7,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0031451,CG9961,28.96196593,-1.253747286,0.304188928,-4.066313491,0.002647555,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0035625,Blimp-1,500.9269225,-1.253747178,0.270282773,-4.640298291,2.96808e-4,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0265699,CR44506,56.41601282,-1.229961023,0.261219966,-4.673934696,2.58134e-4,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0086408,stl,48.86906993,-1.229397182,0.305538607,-4.003492416,0.003230157,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0039490,CG5882,36.94364267,-1.228660241,0.320073757,-3.829395662,0.005566528,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0035434,Drsl5,9.420823979,-1.227999929,0.316030992,-3.662427426,0.009248187,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0031730,CG7236,30.20231281,-1.202820901,0.314695967,-3.792935294,0.006107325,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0003375,Sgs5,32.34665063,-1.197774073,0.320401409,-4.037720404,0.002882278,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0052571,TwdlX,8.20116008,-1.174765876,0.315137511,-3.501665483,0.014634691,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0035852,CG7387,42.3859116,-1.169270182,0.313991861,-3.711279454,0.008064724,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0038071,Dtg,809.979904,-1.162151173,0.26961508,-4.312185225,0.001096401,TRUE,FALSE,Syp target only,Cluster III,"Higher Syp
binding",High_Syp,protein_coding,NA,3,Syp KO L3 brain RNA-seq
FBgn0030586,CG12539,16.19337024,-1.162034551,0.327646286,-3.492726342,0.015002957,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0040321,GNBP3,52.34710655,-1.161975791,0.284771586,-4.054794445,0.002753509,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0034438,CG9416,209.1929236,-1.15718598,0.302425435,-3.831304702,0.005566528,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0053126,NLaz,269.5205678,-1.156781455,0.235521272,-4.906023075,1.00372e-4,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0004910,Eip63F-1,122.5239511,-1.156474864,0.264196484,-4.367206266,8.92362e-4,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0267243,CR45683,27.01878524,-1.15094774,0.310657841,-3.666110448,0.009178301,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0030051,spirit,26.3527975,-1.146926926,0.324591445,-3.515837207,0.013997067,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0027109,NPF,79.84292063,-1.146238055,0.316584518,-3.627399238,0.010150298,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
