gene_id,gene_name,imp_target,syp_target,cluster_id,cluster_description,sypKO_l2fc,sypKO_padj
FBgn0051004,mesh,TRUE,FALSE,Cluster I,Higher Imp binding,-2.131662929,4.50982e-16
FBgn0040299,Myo28B1,TRUE,FALSE,Cluster I,Higher Imp binding,-2.129416966,1.43867e-10
FBgn0037807,CG6293,TRUE,FALSE,Cluster I,Higher Imp binding,-1.80869264,1.2034e-10
FBgn0038720,CG6231,TRUE,FALSE,Cluster I,Higher Imp binding,-1.384631528,2.16381e-9
FBgn0264562,Hr4,TRUE,FALSE,Cluster I,Higher Imp binding,-1.093575608,0.004840527
FBgn0025525,bab2,TRUE,FALSE,Cluster I,Higher Imp binding,-1.000352297,1.25729e-8
FBgn0037534,ELOVL,TRUE,TRUE,Cluster I,Higher Imp binding,-0.900561197,0.09268513
FBgn0038421,CG17931,TRUE,TRUE,Cluster I,Higher Imp binding,-0.757966464,0.123265017
FBgn0052843,Dh31-R,TRUE,FALSE,Cluster I,Higher Imp binding,-0.707305045,0.010879091
FBgn0000567,Eip74EF,TRUE,FALSE,Cluster I,Higher Imp binding,-0.691558752,0.007398556
FBgn0250869,CG42240,TRUE,FALSE,Cluster I,Higher Imp binding,-0.679281238,0.006099513
FBgn0036945,Ssk,TRUE,FALSE,Cluster I,Higher Imp binding,-0.678217804,0.262885871
FBgn0013272,Gp150,TRUE,TRUE,Cluster I,Higher Imp binding,-0.552614801,0.365495417
FBgn0286071,AdamTS-A,TRUE,FALSE,Cluster I,Higher Imp binding,-0.539369214,0.035767999
FBgn0262512,Vha14-1,FALSE,TRUE,Cluster I,Higher Imp binding,-0.529382227,0.095361146
FBgn0039890,ABCD,TRUE,TRUE,Cluster I,Higher Imp binding,-0.513424777,0.314953836
FBgn0010263,Rbp9,TRUE,FALSE,Cluster I,Higher Imp binding,-0.488228689,0.161433576
FBgn0038243,CG8066,TRUE,FALSE,Cluster I,Higher Imp binding,-0.465659917,0.286114561
