exp_string,gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,padj,syp_target,imp_target,RBP_target,cluster_id,cluster_description,cluster_code,gene_biotype,n_binding_site,binding_feature,l2fc_xlsite,padj_xlsite,l2fc_bsmax,padj_bsmin,feature_pct_UTR5,feature_pct_CDS,feature_pct_UTR3,feature_pct_intron,feature_pct_ncRNA_exon,feature_pct_ncRNA_intron,avg_iCLIP_tpm,human_homologs,mammalian_imp_target,mammalian_syp_target,target
L1 Imp,FBgn0051004,mesh,93.99416714,-2.131662929,0.235922502,-8.862175942,4.50982e-16,FALSE,TRUE,Imp target only,Cluster I,"Higher Imp
binding",High_Imp,protein_coding,12,UTR3,4.316060776683479,2.1863768202039447e-192,5.894040536090132,1.2115594124390454e-58,0,0,100,0,NA,NA,772.1502978845667,SUSD2,TRUE,FALSE,TRUE
L1 Imp,FBgn0040299,Myo28B1,57.0475065,-2.129416966,0.285517679,-7.23629374,1.43867e-10,FALSE,TRUE,Imp target only,Cluster I,"Higher Imp
binding",High_Imp,protein_coding,4,UTR3,1.7987452410486333,9.324294415760688e-21,3.6117137792419967,0.012931969589711594,0,0,100,0,NA,NA,16.251298440649865,MYO7A | MYO7B,FALSE,FALSE,TRUE
L1 Imp,FBgn0037807,CG6293,100.8210769,-1.80869264,0.246121438,-7.272596193,1.2034e-10,FALSE,TRUE,Imp target only,Cluster I,"Higher Imp
binding",High_Imp,protein_coding,16,UTR3,4.378766472265687,2.930967202892356e-138,1.8975036564813021,2.5692601994239088e-11,0,0,100,0,NA,NA,64.33271153333334,SLC23A1 | SLC23A2,TRUE,FALSE,TRUE
L1 Imp,FBgn0036816,Indy,295.4001352,-1.653662706,0.247086522,-6.679794226,5.80648e-9,TRUE,TRUE,Co-target,Cluster II,"Higher Imp
binding",High_Imp,protein_coding,11,UTR3,0.8968950682564842,4.9391479581715526e-8,2.767856107962905,0.0023241725469348887,0,0,100,0,NA,NA,38.41051033262643,SLC13A1 | SLC13A2 | SLC13A3 | SLC13A4 | SLC13A5,TRUE,FALSE,TRUE
L1 Imp,FBgn0262972,lncRNA:cherub,64095.85644,-1.409568935,0.264088252,-5.343004532,1.23246e-5,TRUE,TRUE,Co-target,Cluster III,"Higher Syp
binding",High_Syp,ncRNA,284,ncRNA-exon,5.678115589535977,2.239612293695908e-62,5.07279462405955,8.871772070775449e-74,NA,NA,NA,NA,100,0,2046.5131373333334,NA,FALSE,FALSE,TRUE
L1 Imp,FBgn0038720,CG6231,330.4256033,-1.384631528,0.20234555,-6.832885067,2.16381e-9,FALSE,TRUE,Imp target only,Cluster I,"Higher Imp
binding",High_Imp,protein_coding,8,UTR5,1.785007379413747,1.2172653957698644e-29,1.2444375912703196,0.007756681994473722,100,0,0,0,NA,NA,35.62522033333333,NA,FALSE,FALSE,TRUE
L1 Imp,FBgn0264562,Hr4,2509.794768,-1.093575608,0.28271874,-3.872521828,0.004840527,FALSE,TRUE,Imp target only,Cluster I,"Higher Imp
binding",High_Imp,protein_coding,52,UTR5:CDS:UTR3,3.075102285056808,4.2911109730899075e-69,3.362326285576179,2.2100190709237436e-19,7.6923076923076925,23.076923076923077,69.23076923076923,0,NA,NA,103.06738945093,NR6A1,TRUE,TRUE,TRUE
L1 Imp,FBgn0037323,CG2663,15.58230043,-1.055947953,0.328094104,-3.220888088,0.030874135,FALSE,TRUE,Imp target only,Cluster II,"Higher Imp
binding",High_Imp,protein_coding,4,UTR3,1.807148305988233,2.1424192690838536e-15,3.0019756625032423,0.0016126937974378602,0,0,100,0,NA,NA,10.358407,NA,FALSE,FALSE,TRUE
L1 Imp,FBgn0025525,bab2,1719.592067,-1.000352297,0.152430376,-6.561823419,1.25729e-8,FALSE,TRUE,Imp target only,Cluster I,"Higher Imp
binding",High_Imp,protein_coding,19,UTR3,1.3923544391574811,2.3687698262971317e-24,3.1900775773368957,6.623840837594034e-4,0,0,100,0,NA,NA,24.789449733333335,NA,FALSE,FALSE,TRUE
L1 Imp,FBgn0004595,pros,187068.7149,-0.947910243,0.27819174,-3.410063527,0.018828483,TRUE,TRUE,Co-target,Cluster III,"Higher Syp
binding",High_Syp,protein_coding,26,UTR3,3.647540067465802,1.5990615056738584e-125,3.340350858908047,7.838404092098572e-15,0,0,100,0,NA,NA,28.940795266666665,PROX1,TRUE,FALSE,TRUE
