len_i,len_u,jaccard,n,gene_id,gene_name,exon_lengths,pct_overlap
17,280,0.06463878326996197,4,FBgn0000042,Act5C,2978,0.5708529214237743
88,260,0.5116279069767442,23,FBgn0000043,Act42A,1626,5.412054120541206
0,100,0,0,FBgn0000046,Act87E,1989,0
33,580,0.0603290676416819,9,FBgn0000064,Ald1,3809,0.8663691257547913
0,35,0,0,FBgn0000083,AnxB9,2073,0
0,645,0,0,FBgn0000108,Appl,6383,0
0,90,0,0,FBgn0000181,bic,1546,0
0,15,0,0,FBgn0000183,BicD,5498,0
77,1180,0.06980961015412511,17,FBgn0000253,Cam,5812,1.3248451479697176
4,1030,0.00389863547758284,2,FBgn0000259,CkIIbeta,5705,0.07011393514460999
0,510,0,0,FBgn0000273,Pka-C1,5725,0
35,220,0.1891891891891892,6,FBgn0000299,Col4a1,6165,0.5677210056772101
132,705,0.23036649214659685,34,FBgn0000308,chic,2632,5.015197568389058
3,105,0.02941176470588235,2,FBgn0000319,Chc,6008,0.04993342210386152
85,315,0.3695652173913043,19,FBgn0000370,crc,3423,2.483201869704937
0,120,0,0,FBgn0000412,D1,1877,0
52,260,0.25,14,FBgn0000416,Sap-r,3527,1.4743407995463569
3,230,0.013215859030837,1,FBgn0000448,Hr3,10465,0.02866698518872431
127,540,0.3075060532687651,30,FBgn0000451,ect,3741,3.3948142207965786
0,45,0,0,FBgn0000463,Dl,5278,0
0,390,0,0,FBgn0000479,dnc,16683,0
0,15,0,0,FBgn0000541,E(bx),10072,0
10,135,0.08,4,FBgn0000546,EcR,9934,0.10066438494060802
0,300,0,0,FBgn0000547,ed,6425,0
0,70,0,0,FBgn0000568,Eip75B,13451,0
7,325,0.0220125786163522,2,FBgn0000575,emc,2049,0.3416300634455832
25,215,0.13157894736842105,7,FBgn0000579,Eno,3718,0.6724045185583647
34,485,0.07538802660753881,6,FBgn0000611,exd,3302,1.029678982434888
0,130,0,0,FBgn0000636,Fas3,6612,0
36,280,0.14754098360655735,11,FBgn0000667,Actn,5272,0.6828528072837633
0,145,0,0,FBgn0001078,ftz-f1,8581,0
39,185,0.2671232876712329,10,FBgn0001092,Gapdh2,1443,2.702702702702702
0,15,0,0,FBgn0001098,Gdh,2343,0
14,430,0.03365384615384615,5,FBgn0001105,Gbeta13F,5605,0.24977698483496877
17,295,0.06115107913669065,6,FBgn0001112,Gld,2899,0.5864091065884788
26,170,0.18055555555555555,4,FBgn0001145,Gs2,2231,1.1653966831017482
0,80,0,0,FBgn0001169,H,6004,0
0,95,0,0,FBgn0001186,Hex-A,4139,0
5,210,0.02439024390243902,1,FBgn0001197,His2Av,1224,0.40849673202614384
58,210,0.3815789473684211,14,FBgn0001218,Hsc70-3,3589,1.6160490387294513
11,1105,0.01005484460694698,4,FBgn0001235,hth,11839,0.09291325280851424
0,55,0,0,FBgn0001248,Idh,2434,0
0,60,0,0,FBgn0001253,ImpE1,6264,0
0,165,0,0,FBgn0001257,ImpL2,2667,0
30,230,0.15,7,FBgn0001297,kay,7789,0.3851585569392733
0,65,0,0,FBgn0001319,kn,4391,0
0,195,0,0,FBgn0001624,dlg1,11505,0
36,225,0.1904761904761905,5,FBgn0001942,eIF4A,2480,1.4516129032258065
0,35,0,0,FBgn0002022,Catsup,1698,0
0,125,0,0,FBgn0002121,l(2)gl,5986,0
11,430,0.02625298329355608,4,FBgn0002525,Lam,3737,0.29435375970029437
110,695,0.18803418803418803,29,FBgn0002645,Map205,6046,1.8193847171683757
0,80,0,0,FBgn0002736,mago,1103,0
