gene_id,gene_name,row_coverage,row_mean,row_median,region_coverage,region_mean,region_median,tstatistic,pvalue,comparison_mode,Imp_total_width,Imp_cluster_count,Imp_max_width,Syp_total_width,Syp_cluster_count,Syp_max_width,feature,group,comparison_type,fill_group
FBgn0000043,Act42A,70200,-4.5260536851032e-4,-0.00535221865012154,32175,-3.5255339915705e-4,-0.00640930878691867,0.20246014071350169,0.4197791481819894,Imp to shuffled Syp binding sites,164,1,164,141,1,141,UTR3,Observed,Observed,Imp to shuffled Syp binding sitesObserved
FBgn0000043,Act42A,59400,-4.2008766274247e-4,-0.00682742813532409,32175,-3.5255339915705e-4,-0.00640930878691867,0.13665894431531306,0.4456506188634505,Syp to shuffled Imp binding sites,164,1,164,141,1,141,UTR3,Observed,Observed,Syp to shuffled Imp binding sitesObserved
FBgn0000064,Ald1,1327860,-8.650791277782732e-5,-0.00254489964459853,29700,-9.0714069857206e-4,-0.00942268886949955,-1.4811525956561131,0.9307117381094246,Imp to shuffled Syp binding sites,516,7,210,73,1,73,UTR3,Observed,Observed,Imp to shuffled Syp binding sitesObserved
FBgn0000064,Ald1,135245,-9.086416373500646e-5,-0.00580098396714848,29700,-9.0714069857206e-4,-0.00942268886949955,-1.473290038219647,0.929658278138193,Syp to shuffled Imp binding sites,516,7,210,73,1,73,UTR3,Observed,Observed,Syp to shuffled Imp binding sitesObserved
FBgn0000108,Appl,2772800,-3.9242632604657265e-5,-3.0779722357008543e-16,164000,0.00227855161712751,-3.3645854438535736e-16,12.720683906064792,2.3628646420429687e-37,Imp to shuffled Syp binding sites,644,12,119,124,2,74,UTR3,Observed,Observed,Imp to shuffled Syp binding sitesObserved
FBgn0000108,Appl,710530,-3.675884080018472e-5,-3.1696529320220095e-16,164000,0.00227855161712751,-3.3645854438535736e-16,12.707052182525556,2.8125013831824603e-37,Syp to shuffled Imp binding sites,644,12,119,124,2,74,UTR3,Observed,Observed,Syp to shuffled Imp binding sitesObserved
FBgn0000173,ben,237800,-1.3868642574918e-4,-0.00881626302356777,23000,0.0030213282167937,-0.00967548822622613,5.268012091868012,6.95750942080505e-8,Imp to shuffled Syp binding sites,135,3,77,55,2,29,UTR3,Observed,Observed,Imp to shuffled Syp binding sitesObserved
FBgn0000173,ben,136735,-1.5441488870542e-4,-0.01121519971677604,23000,0.0030213282167937,-0.00967548822622613,5.294232771963745,6.030685374887777e-8,Syp to shuffled Imp binding sites,135,3,77,55,2,29,UTR3,Observed,Observed,Syp to shuffled Imp binding sitesObserved
FBgn0000253,Cam,5942775,-1.996356033510604e-5,-1.6771139888208062e-16,154050,0.00167314549815226,-1.402620432175459e-16,11.494415928527548,7.241644745087722e-31,Imp to shuffled Syp binding sites,1053,15,237,85,3,29,UTR3,Observed,Observed,Imp to shuffled Syp binding sitesObserved
FBgn0000253,Cam,651950,-1.4965473859103516e-5,-9.163944307974331e-17,154050,0.00167314549815226,-1.402620432175459e-16,11.460484218981764,1.0717476192694852e-30,Syp to shuffled Imp binding sites,1053,15,237,85,3,29,UTR3,Observed,Observed,Syp to shuffled Imp binding sitesObserved
FBgn0000299,Col4a1,124660,-1.8210587284385e-4,-1.771787650254011e-16,9200,-2.2219834473683e-4,-9.885382139177335e-17,-0.06687074652820621,0.5266569724903724,Imp to shuffled Syp binding sites,155,4,50,29,1,29,UTR3,Observed,Observed,Imp to shuffled Syp binding sitesObserved
FBgn0000299,Col4a1,21680,-1.4050787383125e-4,-9.873153718472615e-17,9200,-2.2219834473683e-4,-9.885382139177335e-17,-0.13625258099021662,0.554187704704318,Syp to shuffled Imp binding sites,155,4,50,29,1,29,UTR3,Observed,Observed,Syp to shuffled Imp binding sitesObserved
FBgn0000308,chic,899130,-1.3988674044836e-4,-0.00475098387129755,267525,0.01160047561890257,-3.2162955232112263e-16,60.24435077854842,0,Imp to shuffled Syp binding sites,398,7,98,292,5,94,UTR3,Observed,Observed,Imp to shuffled Syp binding sitesObserved
FBgn0000308,chic,635970,-1.6088215118011e-4,-0.00503616878272229,267525,0.01160047561890257,-3.2162955232112263e-16,60.35208637053009,0,Syp to shuffled Imp binding sites,398,7,98,292,5,94,UTR3,Observed,Observed,Syp to shuffled Imp binding sitesObserved
FBgn0000370,crc,523250,-3.850699636974664e-5,-0.00475021506059829,8625,0.01731973341655551,-1.3666275240891731e-16,17.311794779553953,2.4840052727054843e-66,Imp to shuffled Syp binding sites,177,3,76,182,4,77,UTR3,Observed,Observed,Imp to shuffled Syp binding sitesObserved
FBgn0000370,crc,341250,-3.8353885100794215e-5,-0.00373130816967101,8625,0.01731973341655551,-1.3666275240891731e-16,17.311642077966496,2.4903804733339236e-66,Syp to shuffled Imp binding sites,177,3,76,182,4,77,UTR3,Observed,Observed,Syp to shuffled Imp binding sitesObserved
FBgn0000416,Sap-r,103270,-3.1870587709094e-4,-3.5402178155971405e-16,18400,-7.100244136876223e-5,-2.762876568105349e-16,0.42510097120273194,0.3353840206688431,Imp to shuffled Syp binding sites,219,3,163,50,1,50,UTR3,Observed,Observed,Imp to shuffled Syp binding sitesObserved
